,No,내용,날짜,조회수,태그,내용1(응답)
219,2220,장기렌트를 5년계약후 어느정도 지나 이중계약이란사실을 알게되었고 렌트계약시 보증금명목으로일 정금액을 걸었습니다.현재 렌트회사에서는 이중계약을 해지조건으로차량승계를 하기위해 장기렌트차량을 가져가고 다른차로대차해주었습니다. 하지만 승계는 미뤄졌고 장기렌트한자는 회사에서 관리하고있다면 장기렌트차량을 돌려주지 않고있습니다. 또한 보증금을 돌려주지 않고있으며계속 미뤄지고있는 상황입니다.1. 렌트이중계약건으로 무효로 그동안 낸 렌트금을 다시 받을방법2. 1번이 불가하다면 보증금을 받는방법3. 계속 미뤄지는 상황에서 법적대응방법현재 렌트회사에서는 돈이없다는 이유로 보증금을 미누고있습니다. 렌트비또한 계속 제가 내고있고요.윗 글에도 써 있지만 장기렌트는 회사에서 승계목적으로가져가고 다른 차를 주었지만 나가는 렌트비는장기렌트비용을 지출 중입니다.,2020.04.06,41.0,계약,"         ​​ 합의가 안되면민사 손해배상청구소송을 해야합니다.소제기후 사실조회로 상대방의 알아낼 수 있습니다.소송 제기후에, 법정연이자 12%가 가산되기 시작합니다.​​문자 카톡 녹취 증인 입금내역등이 증거가 됩니다.승소후 상대방의 통장이나 자택, 전월세보증금, 급여등에압류나 추심등의 강제집행이 가능하고더 도움이 필요하면 일대일질문주세요.     "
220,2221,조합원 입주권 .계좌받아서 가계약금 2000만원 넣고 계약서 쓰는 날짜 약속 잡았습니다그런데 계약서 날짜 전날에 갑자기 매도인이 양도세 5천만원이있는걸 몰랐다면서 없었던일로 하자고 배액배상없이 2천만원 그대로 돌려주겠다고 일방적으로 말한후 부동산과의 연락을 끊어버렸습니다.다음날 계약서 쓰기로 약속한 시간에 나타나지도 않고 전화도 받지 않았습니다.너무 황당하고 무례하다 생각되어 배액배상 없이는 저희 계좌 안주겠다고 하고 내용증명 보내려고 합니다.저희가 배액 배상을 요구할수 없는 상황인가요??지금 같은 물건이 다른 부동산 이름으로 네이버에 매물 올라와있던데 이거 거래되면 이중계약이 되는건 아닌지 궁금합니다.,2019.11.05,41.0,계약,"         합의가 안되면,민사 손해배상청구소송을 해야합니다.소제기후 사실조회로 상대방의 인적정보를 알아낼 수 있습니다.소송 제기후에, 법정연이자 12%가 가산되기 시작합니다.  문자 카톡 녹취 증인 입금내역등이 증거가 됩니다.승소후 상대방의 통장이나 자택, 전월세보증금, 급여등에압류나 추심등의 강제집행이 가능하고 더 도움이 필요하면 일대일질문주세요.      "
221,2222,,2019.02.18,90.0,"형벌, 형집행","  사실관계와 법리관계는 달라서,사실관계가 인정되더라도,법률의 구성요건으로 해당 범죄의  기망 착오 편취가 요건부합되어범죄가 되는지는 별개의 문제입니다. 따라서,합의가 안되면,민사 손해배상청구소송을 해야합니다.소제기후 사실조회로 상대방의 인적정보를 알아낼 수 있습니다.소송 제기후에, 법정연이자 15%가 가산되기 시작합니다.문자 카톡 녹취 증인 입금내역등이 증거가 됩니다.승소후 상대방의 통장이나 자택, 전월세보증금, 급여등에압류나 추심등의 강제집행이 가능하고더 도움이 필요하면 일대일질문주세요.  "
222,2223,"안녕하세요. 빌라 임대인입니다. 임차인을 받고, 전월세 신고를 하였습니다.(공인중개사를 통해 신청했습니다)이 임차인은 별도의 전입신고를 하지 않는다고 합니다.그래서, 또 다른 임차인에게 전입신고를 하게하고, 빌라의 방 1칸을 임대로 하려고 하는데해당 건이 가능한걸까요?전월세 신고와 어떻게 연관이 될 지 궁금합니다.",2021.07.13,46.0,임대차,         임차인에게 전세를 주었는데 또 세를준다고요??이중 계약이 돼  손해배상 해야 할수도 있어요      
223,2224,"우선 형태는 원룸형 다세대 주택입니다.주인은 한번도 못 봤구요. 관리하는 부동산업체와 계약을 맺었습니다.2009년 계약을 맺었고, 계속 자동연장으로 살다고 올해 10월 결혼 후 퇴거했습니다. 전세금은 급하지 않아서 관리하는 부동산중개업소측에 한달안에 다른 세입자 빨리 알아보라고 하였습니다.근데 오늘 해당 부동산 중개업소에서 집주인에게는 월세계약을 세입자에게는 전세계약을 하는 이중계약으로, 세입자에게 목돈을 받아 집주인에게 다달이 월세 송금하다가, 잠적을했다는 사실을 알게 되었습니다. 이미 한달전에 발생한 사건인데 오늘에야 알았습니다. 부동산 중개업소가 연락이 안되서 직접 찾아가보니 점포벽면에는 사기당했다는 벽보 붙어 있고 난리더군요.어렵사리 실제 집주인 번호를 알아내 연락해 보았습니다. 자기도 피해자라면서, 넌지시 합의 가능성은 내비치더군요. 한 20 ~ 30% 전세금 보전해준다면서요. 싫으면 소송하던가 이런 느낌 받았습니다.일단 제가 가진 것들을 확인해 보았습니다.원룸 전세계약서가 있고요. 뒷면에 전입신고필 및 확정일자 인이 되어 있습니다. 등기부등본상 전세권설정은 안되어 있습니다.  또한 이중계약 사기친 관리 부동산중개업소 명의로 일억원 공제증서가 사본으로 한부 있는데요. 날짜가 2010년 까지네요. 이 서류는 왜 제가 가지고 있는지는 모르겠지만요.여기에 저만의 특수사항 한가지 더 말씀드리면, 현재 저는 해당 원룸에서 3개월전 퇴거하여, 다른 주택에 거주중입니다. 그런데 아직 사정상 혼인신고및 이사한 집으로 전입신고를 못했습니다. 즉 사기당한 원룸이 아직 제 주소지로 알고 있습니다.이런 제 상황에서 제 전세 보증금을 돌려받을 수 있는 대처 방안이랄까. 전액이 아니더라도 최대한 유리하게 이끌려면 어떻게 하면 좋을 까요 지식인 고수님들의 조언및 상담 요청드립니다.감사합니다. ",2016.12.26,104.0,전세,"1억 공제증서는 부동산 측에 의하여 계약이 잘 못 되었을경우, 공인중개사협회 에서 보험사 처럼배상을 하여준다는 일종의 확약서 라고 보시면 됩니다.그러나 그 기한이 2010년 까지라면, 무슨 이유를 막론하고 전혀 받을 수 없습니다.그런데 궁금한것이, 질문자님이 중개사와 계약을 할 당시집주인의 인감증명서와 위임장, 그리고 신분증, 중개사의 신분증 을 확인 하고 계약 하셧습니까?그리고 대리인 과의 계약 이라면 위임장은 복사를 받아야 합니다.이 사실이 확인되지 않으면 답변 드려봤자 엇나간 답변이 될 것 같아 다시 댓글 부탁 합니다."
224,2225,"얼마전 분양권 하나를 매수했는데 알고보니 재발급된 계약서였습니다.매도자가 노령이라 분실했다며 부동산에서 안심시켜서 계약을 했고, 명의이전일에 매도자인 할머니와 건설사에서 만나 명의이전 작업을 마쳤습니다.그런데 누군가가 분실됐던 계약서를 가지고 타부동산에서 계약을 했고 명의이전을 또 하러 오는 사건이 발생했습니다.건설사는 CCTV를 통해 매도자인 할머니가 자의로 우리와 명의이전을 마쳤고, 본인이 판게 맞다는 음성녹취를 통해 선량한 피해자인 매수측(저희) 에 명의이전을 해주기로 했습니다.하지만 타부동산(분실된 계약서로 거래한)에서 건설사로 피해관련 내용증명을 보냈다고 합니다.건설사 측은 매도자에게 확약서를 서면으로 받아야만 최종적으로 계약서를 주겠노라 태도를 바꿨습니다.혹시나 매도자가 변심하여 확약서를 안써줄경우 매수인인 저희는 계약을 인정받지 못하는건가요? 벌써 명의이전 한지 한달이 지났는데...너무 불안하고 힘듦니다. 도와주세요 ㅠ",2019.12.06,172.0,"부동산, 건축","        분양권전매는 건설사(분양사)의 동의를 받도록 규정하고 있고, 동의를 하였어도 동의를 받은자가 이행에 착수하기전에는 철회를 할 수 있습니다.. 하여, 매도자가 변심하여 확약서를 안써줄경우 매수인인 질문자는 계약을 인정받지 못할 수도 있을 것으로 보입니다.. ​위와 같은 경우(동의 철회, 계약무효) ""건설사는 CCTV를 통해 매도자인 할머니가 자의로 우리와 명의이전을 마쳤고, 본인이 판게 맞다는 음성녹취를 통해 선량한 피해자인 매수측(저희) 에 명의이전을 해주기로 했습니다.""를 증거로 소송이 불가피 할 것으로 보입니다..    "
225,2226,,2019.09.02,70.0,노인복지,        해당 기관에 문의를 해봐야 겠지만 이중 계약이 될 것 같아 상식적으로는 전월세 계약은 하면 안되지 않을까 합니다.    
226,2227,제가 친구A랑 2000/55짜리 월세를 이년계약을 했거든요. 공동명의로 계약했어요. 계약이 반년정도 남은 상태에서 저는 고향으로 내려가야해서 다른 친구B가 제게 보증금1000만원을 주고 저 대신 A와 살기로했거든요? 주인아주머니께 말씀드리니 상관없다고 알아서 하랬는데 문제는 제가 고향에서 2000/20짜리 월세를 곧 계약하려합니다. 이모가 이중계약이니 뭐니해서 원래 살던곳 계약해지를하고 오라는데. 어떡게해야할지 모르겠네요.  이 상황에서 어떤문제가 있나요?,2015.05.16,39.0,임대차,굳이 계약서로 해지할 필요 없습니다. 새로운곳과 계약 하시고 전입신고.확정일자만 받으면 새로 이사한곳에서의 님의 임대차 계약에 대한 보호법 효력 발생하는겁니다.
227,2228,2015년 6월이사들어왓어요 2층주택1층 3000 40으로요 근데 일주일전 연락도없이갑자기 모르는사람을대리고 집주인이오셔집을보겠다며 보고갔습니다물어보니 2년전집을내놧는데 사겠다는사람이왓다 새댁만이사나가준다면 집을사서 여기서살고싶다한다 가계약금받기전에 의견을묻는다고하시길래 이사비용이랑복비 먼저주시면나가기로했습니다 넉넉히4월까지 시간주겠다고 이사나가라하시구요 그리고 가계약금받았다고연락왓고 이사비용도받았어요 그리고 집을알아보는데 하루만에 맘에드는집이 나왓고 4개월된애기가있는집이라 이사할꺼면빨리해서 적응시키고싶었어요. 빨리나가겠다하니 보증금줄돈없다고 2월말에나가라고 날짜를정해주시는거에요 어이없더라구요 저희가이사나가면보증금주겠다고. 전화통화한거녹음도했어요. 근데 계약도안끝낫는데 말도안되는소리라고 돈없다고 돈없는데 어찌나갈꺼냐며 못나간다합니다 결국 이사못가게됫어요. 따지니까 전화도 안받고 연락을안합니다 피해요. 수요일계약한다던데 저희 이사못나가게하셔서 안나간다고 문자계속하고 전화하고 이사비용도 다시 이체시켜줫어요 저희가잘못한건가요? 가계약금받는다고 이사나가줄수있냐고 물어 오케이하고 이사비용까지받은건데 저희 이사나갈수없는건가요. 집주인한테맞춰서 이사나가드리면. 보증금은 저희한테맞춰 주셔야되는거아닌가요 이런식이라 이사못나간다 통보했는데 안나가고있어도되는건가요. 집을사겠다는분이랑 부동산이랑 아무연락처를알수없어서 덜컥 우리동의얻었다면서 계약해버릴까봐. 돈생길때 나가라며 갑자기쫒겨날까봐 걱정입니다 저희 이대로여기살수도있나요? 아니면 1월말에이사나갈수있게 보증금을받을수있을까요,2016.01.18,23.0,계약,안녕하세요뭔가 사정이 있거나 주인이 경우없는 경우이군요법적으로 먼저 말씀 드리자면2015.6월 입주 하셨다면 통상 2년 임대차기간 이니까 2017.6월까지 사셔도 되고요 주인이 이사 나가란다면 보증금과 이사비 복비 등 받고 비켜주던지 아니면 걍 2017.6월 까지 사셔도 됩니다.이부분 주인과 명확히 하시고 조금이라도 주인이 이상하게 군다면 이중계약으로 법원에 민사 건다고 겁주세요
228,2229,"카카오뱅크 청년 전월세대출로 오피스텔 3000/40으로 수도권 이사를 앞두고 있습니다. 현재 가계약을 하고 온 오피스텔의 등기부등본을 떼어 보았을 때, 오피스텔 건물내역이 이렇게 표기가 되어있는데 대출이 가능한 부분인가요?-> 부동산에서는 카카오뱅크 대출이 가능한 집이냐고 물어보았을 때, 가능한 집이라고 답변을 주셨고 집에 융자도 없습니다. 하지만 제2종근린생활시설은 안된다고 들었던 터라,, 대출 가능할까요?광고 및 홍보성 답변 시 답변 신고하겠습니다.",2021.08.01,120.0,대출,"         등기부등본 상 해당 건물은 구분등기된 것으로 도시형생활주택, 오피스텔, 2종근린생활시설로 구성되었고해당 호가 무엇인지 중요합니다.이 중 계약한 오피스텔은 준주택으로 보증금 대출 가능합니다.​     "
229,2230,,,,,"         등기부등본 상 해당 건물은 구분등기된 것으로 도시형생활주택, 오피스텔, 2종근린생활시설로 구성되었고해당 호가 무엇인지 중요합니다.이 중 계약한 오피스텔은 준주택으로 보증금 대출 가능합니다.​     "
230,2231,원룸이나 투룸 이사하려하는데 전엔 다방으로 보고 공인중개사 연결해서 방 구했는데 첫번째방 보자마자 계약했는데 20만원 달라해서요 그 돈 아까워서 발품팔려고 하는데 빌라같은데 돌아다니면서 집주인하고 만나서 할 수도 있나요 아님 굳이 공인중개사 꼭 껴야하나요 ㅠ,2021.09.01,37.0,부동산,"         확률은 아주 낮지만 가능은 하겠죠.​근데 여러 조건이 맞아야 되겠죠.돌아다니며 운좋게 집주인을 만나야 될것이고운좋게 지금 집을 내놓는 사람이여야 하고그 집주인이 부동산에 내놓지 않았어야 하고그 집주인이 직거래여도 질문자를 믿을 수 있는 사람이여야 하고그 집주인이 실질적인 집주인인지 명의상 바지 집주인인지 구별해야 될것이고그 집주인이 보증금을 제대로 돌려줄것인지 법적분석을 해야 될것이고선순위 근저당, 선순위 보증금, 당해세 등도 살펴봐야 될것이고그 집이 불법건축물인지 불법증축물인지도 공부를 통해 확인해야 될것이고직거래를 안해본 집주인은 계약서 작성에 대해 잘 모르기 때문에 질문자가 계약서 작성을 직접 할 수 있어야 될 것이고계약서 작성시 특약등도 직접 기재 할 수 있어야 될것이고계약서 작성의 신뢰성에 대해서 집주인이 질문자가 제대로 작성했는지 믿을 수 있어야 될것이고집주인이 ""복비 조금만 내면 중개사가 편안하게 모든 과정을 진행해줄텐데...""라는생각이 전혀 들지 않게 해줘야 하고계약시 이중계약 등 사기를 쳤을때 대응할 준비도 해놔야 할것이고잔금까지 다른 대출을 받는 등 별탈이 없어야 할것이고거래금액이 높은지 낮은지 적당한지 파악할 수 있어야 될것이고전월세거래신고도 직접 할 수 있어야 될것이고이사 후 하자에 대해서 직접 집주인과 부딪혀서 분쟁을 해결할 수 있어야 될것이고...................................................................................... .......................................................................................................................................................................................................................................................................................................................................................​스스로 집주인을 찾고 계약 진행하고 이사까지 마무리하고 탈없이 살다가 이사가는날 보증금까지 완벽하게 받을 수 있다면혼자서도 가능할듯 싶습니다!     "
231,2232,안녕하세요.걱정이되어 문의드립니다.도움부탁드립니다빌라를 매매해서 2억에 매매가되었습니다.계약서는 2억8천에 업계약서를 써달라고하더라구요. 12월5일 계약금 백을받고 오늘 만나서 나머지 계약금 1300만원을 받고 계약서를 쓰기로했는데 잔금은 1월 예정이구요. 갑자기 일이 생겨 날짜를 미루고 계약금은 부통산통해서 1300을 보냈고 제가 부동산을통해 계약금 1300만원 전달받은상태입니다.그런데 부동산에서 계약서를 이번주 토욜 예정으로 날짜를잡았는데 이중계약을 쓰자고하십니다.매매계약서 하나랑 전세 계약서 하나랑..매수인분이 그렇게 원하신다고합니다. 저는 매도인 집을 파는입장이구요. 집을사는사람이 이중으로 써달라고하는데요.매수인분이원하는대로 이중계약서 써주고 이런경우 저도 따로 협의를봐야할꺼같은데 제가 따로 불이익이나 나중에라도 문제가 생기지않게 하려면 어떡해야할까요?,2020.12.10,40.0,부동산,         매도인의 입장에서는 정상적인 매도가만 받으면 됩니다. 매도자가 1주택자라면 양도세 비과세가 되어 상관없지만 다주택자라면 업계약서를 쓰면 양도신고시 양도차익이 늘어나게 됩니다.  전세계약서는 거래신고시에 자금출처를 해명하기 위한 것으로 보여집니다. 아직 의무적인 전월세신고제가 도입된 것은 아니니 큰 문제는 없을 것 같습니다.     
232,2233,,2019.04.18,43.0,매매,1. 그렇습니다2. 임대차 계약 승계조건으로 매매 계약서를 쓰면 됩니다
233,2234,,,,,1. 그렇습니다2. 임대차 계약 승계조건으로 매매 계약서를 쓰면 됩니다
234,2235,,2019.03.02,38.0,계약,"어디까지 계약이 진행되었는지는 모르지만,보통 매도인의 개인사정으로  계약 해제를 요구하면 계약금의 2배를 받는 것이 일반적입니다."
235,2236,"안녕하세요.부동산 통해 집 매매를 내 놨었는데,매수자가 부동산과 함께집 보고서 가계약금을 일부 송금 하였습니다.수령후, 우여곡절 많았지만여튼 계약서 쓰기로 한 날약속시간에 매수자 결국 나타나지 않아서계약 파기로 간주하고다시 다른 매매 계약 준비중인데요,매수자는자기는 계약 포기한적 없고,계약일 당일 못간것은 개인 사정이라고 합니다.그러면서 제가 다른 계약할경우 이중계약으로 법적 문제가 될것이라고 적반하장 하는데요.법대로 가면 어떻게 될까요?쭉 거래 전반의 과정에서너무 상식없고 괘씸하고저또한 상황이 굉장히 복잡해져서가계약금 돌려주기도 싫고법대로 해도 최악의 경우 받은 가계약금 돌려주면 그만이라 생각하고 있는데제가 다른 계약 진행시 문제 될수 있나요?딱히 가계약에 대해 문서화하거나 명시해서 주고 받은건 없는 상태고 부동산 끼고 일반적인 선에서 관례적으로 오고 간게 전부인 상태입니다.답변 미리 감사드립니다~",2020.01.27,540.0,계약,         질문에 답변드리겠습니다. 상기 질문요지를 고려할 때 계약을 진행하던 중 계약을 포기하는 경우 우선적으로 내용증명을 통해서 계약이행 또는 계약포기를 요구하시는 것이 우선입니다. 그 다음에 이 분이 계약을 포기한다면 다른 사람에게 매매를 진행하시는 것이 적절합니다.     
236,2237,5년동안 윤곽3종 부분공개모델하는걸로 계약했었는데요 수술받은뒤 관자놀이가 꺼져서 지방이식을 받아야하고 광대비대칭 턱끝비대칭이 생겼습니다. 그런데 제가 걸을때도 한쪽 다리가 더 긴느낌이라서 저 때문에 수술 후에 결과가 이렇게 된건지 몰르겠습니다ㅠㅠ 다른 병원에선 광대는 집어넣어도 티안날것같다고 하고 턱끝은 다시 해야될것같다고 하시더라구요 비대칭때문에요.1.미용목적으로 성형수술을 한 이후에 기능적으로 문제가 생기진않았습니다. 턱감각도 있구요 다만 입고리가 한쪽만 올라가고 광대 한쪽이 툭 튀어나와보이고 관자놀이가한쪽만 꺼져있는 증상은 수술전에는 없었는데 이런걸로 병원에 소송이 가능할까요?2.가능하다면 어떤절차를 밟아야할까요3.병원에 내원해서 의료기록서랑 수술전에 찍었던 ct사진 수술 후에 찍었던 ct사진을 요구하고 싶은데 가능할까요? 원본 사진을 가질수 있을까요? 아니면 모니터로 보여줄때 찍어가도 법적으론 문제 없는건가요?4. 재수술을 알아보고 있는중에 타병원에서 재수술하면서 부분모델제안을 받았는데 아직 첫번째로 수술한병원에서 계약한지 5년이 지나지 않았습니다. 타병원에 전병원에서 계약한사실을 알리니 이중계약때문에 힘들것같다고 하더라구요. 안면비대칭을 이유로 병원과 계약해지가 가능할까요? 법적으로 동의한거여서 해지가 불가능한부분인가요?5.병원에서 자기들은 아무 잘못없고 다 제탓이라고 하면 어떻게 대응하는 것이 최선의 방법인가요?,2020.01.23,183.0,"재판, 소송 절차",         1. 일단 글 내용만으로 가부를 설명드리긴 어렵네요2. 의료소송하여 손해배상청구를 해야할듯하네요3. 의료기록 전부 요구가능합니다4. 계약서를 봐야 알듯하네요5. 어떻게 본인탓이에요; 병원에서 수술해서 생긴 문제인데요​​자세한 답변을 원하시면1대1 질문으로 올려주시거나 제  네임카드에 있는 카카오톡아이디 egoswords8로 친구추가 주셔서 연락 또는 연락처에 있는 휴대전화로 연락주세요(모바일로는 네임카드가 보이지 않으니 PC버젼으로 변경하셔서 보시면 됩니다)​의견에 올리시면 답변해드리지 않습니다     
237,2238,안녕하세요!다름이 아니라 10여년전 제 명의의 아파트를 1000만원에 전세를 주었는데 저의 동의 없이 6년전 쯤에 원 전세자가 제 3자에게 전 월세를 주었는데 현재 전월세로 사는 세입자는 그 사람이 집주인이라고 오해하고 실제로 제가 외국에 있는 동안 나를 자기 아들이라고 거짓말하여 월세를 받고 있는 상황이었습니다.집 주인의 동의 없이 이런식의 이중계약이 가능한지 현재 집주인으로서 취해야 될 조치가 어떤것인지 현재까지 취득한 돈에 대한 원 집주인의 권리등은 없느지에 대해 궁금합니다.전문가님의 성실한 답변 부탁드립니다.,2012.04.08,44.0,전세,"전대인이 전대차를 하려면 주인의 동의를 받아야 하는데 임의로 전대차를 놓았다면 질문자는 계약해지가 가능합니다.전대인,전차인 모두에게 내용증명으로 계약해지를 통보하고 명도 받으면 되고 전차인의 차임에 대한 권리를 주장하기는 좀 어렵겠습니다.참조하세요."
238,2239,"이사를 해야 겠다 싶어 집을 보러 다니다가 맘에 드는 집이 있어 300백만원에 가계약을 했습니다.그런데 자금사정에 변수가 생겨 나도 집을 팔아야 잔금을 치룰수 있는 상황이라 정확한 잔금날짜를특정할수 없기에 무작정 계약하는것이 부담이 되어 부동산에 문의를 했습니다.나는 지금 사정이 이러해서 당장 계약날짜를 잡기가 쉽지 않으니 내 입장을 상대방에게 설명을하여 가능한지를 물어봐 주시고 만약 상황이 여의치가 않으면 다른 사람과 계약해도 되며가계약금을 돌려 줄수 있는지도 물어봐 달라고 했습니다.* 여기서 분명한 나의 입장은 계약을 깨자는것이 아니고 내 입장을 충분히 설명하고 상대방의 반응이 완고하여 어떤식으로든 계약금을 돌려 줄수가 없다고 명확이 얘기했다면 어떻게는 계약을 진행해 나갈 수 있는 방법을 강구하려고 했었습니다.부동산과 상대방의 통화내용 입니다. 부동산 : 지금 이만저만 해서 당장 계약이 어렵다집주인 : 알았다부동산 : 가계약 한 사람이 현재 집 거래가 되면 계약을 이어갈 것이고 혹시라로 다른사람과 먼저 계약을             하면 가계약금은 돌려줘야 한다집주인 : 알았다* 여기서 집주인이 알았다 라고 대답한것은 내 의견에 동의를 했다는 뜻 아닌가요?하여 결국 저는 아직 기존집이 거래가 안되어 계약을 못한 상태에서 상대방은 매매에서 전세로 바꿔다른사람과 계약을 했다고 하기에 가계약금 300만원을 돌려달라고 하니 이제와서 못주겠다고 합니다왜 못주겠냐 하니 당신이 계약을 파기한 것이니 못주겠다고 합니다. 무슨소리냐 당시에 설명을 다 했고 당신이 ""알았다"" 라고 한것은 서로가 동의 한것 아니냐고 했더니자기는 그런뜻으로 ""알았다"" 라고 얘기한게 아니라 합니다.그럼 그때 분명하게 의사를 전달했어야지 이게 무슨경우냐고 했더니암튼 자긴 못주겠으니 고소를 하든 맘대로 하라고 합니다.기가막히고 어의가 없습니다.나는 계약서를 쓴적도 없고, 계약을 깨자고 한적도 없고, 가계약금 안 받아도 된다고 한적도 없고,그쪽에서도 저에게 해지를 언급한적이 없습니다.이런경우도 나의 귀착사유로 자동 계약 해지가 된건가요?만약 자동 계약 해지가 아니라면 나와의 협의없이 전세계약을 하였기에 이중계약으로전세계약 무효소송과  그 계약으로 나와의 계약을 그쪽에 파기한것에 대한 소송이 가능할까요?억울하고 속상합니다.고수님들의 의견 부탁드립니다.나보다 빠른시일내에 내집이 매매가 되면 바로 그쪽과 계약할것이고 가 계약금을 돌려줄수 있는지 확인을 해달라 그리고 계약을 최대한 미뤘으면 하는 마음에 부동산에 상황을 설명하고 상대방 의사가 어떤지 물어봐",2019.08.16,118.0,"부동산, 건축","        합의가 안되면,민사 부당이득금반환청구소송을 해야합니다.소제기후 사실조회로 상대방의 인적정보를 알아낼 수 있습니다.소송 제기후에, 법정연이자 12%가 가산되기 시작합니다.   문자 카톡 녹취 증인 입금내역등이 증거가 됩니다.승소후 상대방의 통장이나 자택, 전월세보증금, 급여등에압류나 추심등의 강제집행이 가능하고 더 도움이 필요하면 일대일질문주세요.   ​    "
239,2240," 1년 전월세 계약을 해서다음주 월요일에 만료가 됩니다..2달전에 미리 부동산에 방을 내놓겟다고통보를 해드렸는데 집이 계속 나가지 않아서월세도 꼬박꼬박 지급해드렸습니다,.그래서 당연하게 만료일이 되면보증금을 받을 수 있을것이라 생각을 햇는데일이 꼬여버렸습니다..당시 계약진행해주던 부동산 중개인이 이중계약으로주인에게 보증금의 일부가 적힌 계약서를 보내서계약을 하고 나머지 금액을 빼돌렸던 겁니다..그래서 그로인해 법적소송이 진행중이라고 해요..서로 책임을 떠넘기고 있는 상황이라네요부동산과는 현재 연락두절이 되었구요..임대차보호법 적용이 될까요..",2013.06.14,103.0,경제," 안녕하세요! 귀농 귀촌 지원센터의 귀농 센터장 조금선입니다.. 임대인이 대리인에게 임대차계약의 체결권한을 부여하여대리인이 본인의 이름으로 임차인과 임대차계약을 체결한 경우위 계약의 효력은 임대인 본인에게 귀속되며, 2민법제126조에 의하면 대리인이 그 권한 외의 법률행위를한 경우 제3자가 그 권한이 있다고 믿을 만한 정당한이유가 있으면 본인은 그 행위에 책임이 있다고규정하여 상대방을 보호하고 있습니다...임대인이 건물 전체에 대하여 관리 및 계약일체를 맡긴경우 적법한 대리권한이 있다고 볼 수 도 있고, 집주인이보증금의 액수등에 관하여 구체적인 대리범위를 정하여주었다는 사정이 있다고 하더라도 표현대리가 성립할가능성이 높아 임차인은 계약이 종료하면 지급한 보증금의반환을 청구할 권리가 인정될 것으로 보이니 따라서집주인이 계약기간이 만료하고도 임차인이 지급한 보증금을반환하지 않겠다고 할 경우 임차권등기 및 보증금반환청구소송을제기하시면 보증금을 반환받을 수 있을 것으로 보입니다.. 질문에 답변이 도움이 되셨길 바라며~ 귀농천사 조금선 올림^^"
240,2241,"아파트 전월세계약을 하기위해 아파트 등기사항전부증명서를 인터넷으로 발급받았습니다. 이상한점이 몇가지 있는데 이런것을 처음 해봐서 부동산찾아가보기 전에 여기에 먼저 질문드립니다. 1. 소유자는 따로 있고,  전화와 집을 보여주신 분은 그분 아들이라고 합니다. 2. 두번의 가압류가 있었고 둘다 한달내로 가압류등기말소가 되어있습니다. 3. 2년전 근저당권으로 2400만원이 설정되었다가 한달내에 해지가 되었으며,   곧바로 2011년 5월에 다른 근저당권자에게 7천만원의 근저당권이 설정되어있는 상황입니다.  집값은 2억정도 되고  7천만원을 근저당이 잡혔더라도 저희 전세금보다 많기때문에 괜찮을거같단 생각입니다만... 혹시나 제가 주의해야 할것이 있다면 어떤게 있을까요? 7천만원의 근저당권이 설정된게 전세들어온 사람이 걸어놓은거라면 아직 해지가 안되어있는데 세입자가 이중계약을 하려는 거일수도 있나요?   제가 외국에서 살다와서 전혀 몰라서;;;    답변좀 부탁드립니다",2013.08.19,35.0,부동산,1. 소유자와 직접  계약을 체결해야 합니다.2. 말소가 된 등기는 상관없습니다.3. 7천만원이 근저당설정 되어 있더라도 전세금을 포함해서 60-70%이하여야 하지 않을까요?   혹시 경매에 넘어갈 수 있는 가능성을 생각하셔야 할 듯합니다.
241,2242,안녕하세요 lh해주는곳이 드물어 한참을 구하다 작은원룸4500짜리 전세가 나왓는데 lh에선 3800만 지원된다햇다고 부동산에선 모자란금액 700만큼은 월세 7만원을내고 전월세로하라하네요 제가 잘몰라서 그러는데 원래 금액이안나올수도잇는건가요? 관리비도잇고 올전세로들어가고싶지만 집구하기가 너무힘들어 그냥들어갈까하는데 조언좀 해주십시요ㅠ,2018.01.03,80.0,전세,권리분석을 통해서 3800만 지원이 가능한가보네요네 안나올수도 있습니다이중계약이라고 볼수가 없기때문에3800 /7 으로 계약할지 말지는 질문자님 선택입니다
